1g9v -6.70
1gkc -5.79
1gm8 -7.12
1gpk -6.17
1hnn -4.79
1hp0 -6.29
1hq2 -3.83
1hvy -9.21
1hwi -8.76
1hww -3.46
1ia1 -5.42
1ig3 -5.30
1j3j -4.64
1jd0 -5.07
1jje -6.99
1jla -8.00
1k3u -6.72
1ke5 -6.80
1kzk -10.25
1l2s -6.88
1l7f -5.85
1lpz -8.40
1lrh -5.35
1m2z -7.77
1meh -7.54
1mmv -5.06
1mzc -9.46
1n1m -4.53
1n2j -5.08
1n2v -4.24
1n46 -7.29
1nav -6.78
1of1 -5.61
1of6 -5.10
1opk -6.29
1oq5 -7.13
1owe -6.51
1oyt -7.49
1p2y -4.39
1p62 -6.18
1pmn -6.44
1q1g -5.61
1q41 -6.11
1q4g -6.06
1r1h -9.03
1r55 -7.47
1r58 -6.92
1r9o -6.48
1s19 -8.74
1s3v -5.33
1sg0 -5.73
1sj0 -9.41
1sq5 -5.69
1sqn -7.84
1t40 -7.65
1t46 -7.14
1t9b -6.02
1tow -6.72
1tt1 -6.65
1tz8 -5.47
1u1c -5.98
1u4d -4.70
1uml -7.84
1unl -6.84
1uou -5.92
1v0p -7.31
1v48 -3.39
1v4s -6.96
1vcj -6.82
1w1p -4.31
1w2g -5.42
1x8x -5.03
1xm6 -5.58
1xoq -6.18
1xoz -8.22
1y6b -9.32
1ygc -7.40
1yqy -7.13
1yv3 -6.79
1yvf -8.49
1ywr -9.34
1z95 -8.69
2bm2 -7.68
2br1 -6.43
2bsm -6.77
