1gpk -59.7484
1hnn -48.9287
1hq2 -50.5954
1hww -56.0532
1ia1 -61.546
1hp0 -58.6771
1gm8 -61.7905
1j3j -53.3477
1jd0 -38.9857
1ig3 -62.3658
1g9v -66.3595
1gkc -60.1746
1ke5 -61.4654
1k3u -71.9954
1l2s -56.6367
1jje -61.4961
1jla -70.8225
1lrh -59.3397
1m2z -67.7302
1hwi -84.1535
1mmv -53.6196
1lpz -81.1905
1n1m -52.8558
1hvy -78.5072
1meh -70.7038
1l7f -64.166
1n2v -53.9863
1n2j -50.0883
1of1 -55.9776
1of6 -59.3125
1owe -63.5487
1n46 -61.9175
1nav -67.2194
1p2y -51.8298
1oq5 -63.91
1oyt -69.4465
1opk -66.4544
1q41 -60.0652
1p62 -55.8856
1q4g -61.4639
1q1g -58.353
1mzc -74.7159
1r9o -64.0398
1sg0 -60.6762
1pmn -72.9801
1s3v -67.1454
1s19 -71.6159
1sqn -64.1977
1kzk -79.5308
1r55 -62.3166
1r58 -62.2396
1tow -68.091
1sq5 -60.6102
1t9b -57.9646
1tt1 -57.8112
1r1h -80.2549
1u4d -61.8955
1t40 -73.6452
1uou -52.8394
1tz8 -44.8096
1sj0 -68.0123
1u1c -65.401
1w1p -48.9984
1v4s -67.989
1v48 -63.7077
1t46 -72.4213
1x8x -59.309
1w2g -56.2822
1unl -63.2177
1xm6 -62.5271
1xoz -67.2433
1yv3 -65.5459
1v0p -70.1016
1yqy -67.8567
1xoq -62.518
1vcj -53.3095
1uml -78.5182
1yvf -59.9969
1ywr -68.6234
2bm2 -76.942
1z95 -65.6807
1y6b -72.4183
2bsm -59.7063
2br1 -56.8506
1ygc -72.7481
